	Unnamed: 0_x	person_id	arrest_id_x	charge_degree	offense_category	arrest_date_event	Unnamed: 0_y	arrest_id_y	age_at_arrest	sex	race	arrest_date_univ	y	current_charge_felony	num_fel_arrests_last_year
4275	6501	720250	11318957	misdemeanor	other	2012-08-07	884	5705381	31.14246575342466	M	Black	2017-05-30	0	0	0
4257	4289	720250	11315842	misdemeanor	property	2012-08-08	884	5705381	31.14246575342466	M	Black	2017-05-30	0	0	0
5803	1850	1488855	11314798	misdemeanor	drug	2012-08-08	245	4207288	31.80821917808219	F	mixed	2018-03-09	0	0	0
6267	5297	2740186	11306710	misdemeanor	other	2012-08-10	873	6485644	48.3013698630137	M	Black	2016-10-30	0	0	0
6265	2158	2740186	11306711	misdemeanor	violent	2012-08-10	873	6485644	48.3013698630137	M	Black	2016-10-30	0	0	0
4172	3802	555837	11305595	misdemeanor	violent	2012-08-11	536	6352048	46.78904109589041	M	Black	2016-12-11	0	0	0
68	1941	2870	11303842	misdemeanor	property	2012-08-12	290	3819130	38.43835616438356	M	White	2018-05-04	1	0	0
4164	3654	555286	11304287	misdemeanor	property	2012-08-12	231	5396058	25.87123287671233	F	Black	2017-08-07	0	0	0
4593	1070	920520	11300649	misdemeanor	drug	2012-08-13	604	6577694	48.33698630136986	F	Black	2016-10-01	0	0	0
1091	4102	33253	11302290	misdemeanor	property	2012-08-13	649	4284534	24.306849315068494	M	Black	2018-02-25	1	0	1
4508	4841	910635	11300641	misdemeanor	other	2012-08-13	841	4973877	61.01643835616439	M	Black	2017-10-22	1	0	0
5479	1453	1243038	11292830	misdemeanor	other	2012-08-15	798	5295157	26.56712328767124	M	Black	2017-08-25	0	0	0
865	4286	27249	11293989	misdemeanor	drug	2012-08-15	960	6478529	22.87945205479452	M	Black	2016-11-01	0	0	0
3786	261	339988	11282296	misdemeanor	property	2012-08-18	139	5998375	56.57534246575342	M		2017-03-17	0	0	0
5167	5900	1072559	11284482	misdemeanor	other	2012-08-18	467	6845142	55.02739726027397	M	White	2016-07-15	0	0	0
1571	872	51883	11282532	misdemeanor	violent	2012-08-18	752	5828497	25.980821917808218	M	mixed	2017-04-30	1	0	0
5336	5111	1127005	11283036	misdemeanor	other	2012-08-18	234	3052452	52.342465753424655	M	White	2018-09-08	0	0	0
