	person_id	arrest_id	charge_degree	offense_category	arrest_date_event
3518	91718	6028961	misdemeanor	property	2017-03-09
3519	95389	3021313	misdemeanor	other	2018-09-14
3520	115968	2694279	misdemeanor	violent	2018-11-15
3521	260781	3059137	felony	violent	2018-09-07
3522	98350	4251992	misdemeanor	violent	2018-03-02
3523	98350	4264651	misdemeanor	property	2018-02-28
3524	265085	2818123	misdemeanor	property	2018-10-23
3525	265085	2879575	misdemeanor	property	2018-10-11
3526	260781	3059136	felony	violent	2018-09-07
3527	98350	3187114	misdemeanor	property	2018-08-12
3528	242203	3513350	felony	violent	2018-06-30
3529	98350	3714377	misdemeanor	other	2018-05-24
3530	13592	3756109	misdemeanor	violent	2018-05-16
3531	265085	3783442	misdemeanor	property	2018-05-11
3532	271093	3188624	misdemeanor	property	2018-08-11
3533	243705	3065596	felony	other	2018-09-06
3534	275082	3083081	misdemeanor	other	2018-09-04
3535	27836	3448399	misdemeanor	violent	2018-07-12
3536	243705	2467599	misdemeanor	property	2018-12-31
3537	265085	2573014	misdemeanor	property	2018-12-09
3538	92636	2715207	misdemeanor	property	2018-11-10
3539	92636	2901076	misdemeanor	property	2018-10-08
3540	243705	2935721	misdemeanor	property	2018-10-01
3541	27836	4319635	misdemeanor	violent	2018-02-17
3542	92636	4324643	misdemeanor	property	2018-02-16
3543	32779	1248505	misdemeanor	violent	2019-07-24
3544	91883	1047266	misdemeanor	other	2019-09-03
3545	92636	1411743	misdemeanor	property	2019-06-23
3546	115968	1413858	misdemeanor	violent	2019-06-22
3547	126282	1498893	misdemeanor	property	2019-06-06
3548	92636	1834377	misdemeanor	property	2019-04-24
3549	92636	1851482	misdemeanor	property	2019-04-21
3550	91883	1943438	misdemeanor	other	2019-04-05
3551	92636	2124732	misdemeanor	property	2019-03-06
3552	301613	2374752	misdemeanor	other	2019-01-18
3553	91883	729953	misdemeanor	property	2019-11-04
3554	91883	22684	misdemeanor	property	2020-04-27
3555	28614	346942	misdemeanor	property	2020-01-23
3556	306374	3294755	misdemeanor	violent	2020-06-17
3557	92636	401567	misdemeanor	property	2020-01-13
3558	27249	11325121	misdemeanor	violent	2012-08-04
3559	66046	11182725	misdemeanor	property	2012-09-21
3560	98350	10937959	misdemeanor	property	2012-12-18
3561	32790	11100901	felony	property	2012-10-20
3562	92254	11124555	misdemeanor	property	2012-10-12
3563	113657	11150684	misdemeanor	other	2012-10-03
3564	115968	10592105	misdemeanor	other	2013-04-24
3565	93743	10150429	misdemeanor	property	2013-09-23
3566	92826	10001779	misdemeanor	property	2013-11-16
3567	126282	10294030	misdemeanor	other	2013-08-06
3568	131507	10895117	felony	violent	2013-01-07
3569	66046	10070531	felony	violent	2013-10-23
3570	98350	10073674	misdemeanor	property	2013-10-22
